metric,tag,iteration,raw_value,smoothed_value
train_mean_reward,Train/mean_reward,332.0,89.91044616699219,90.25600873086873
train_mean_reward,Train/mean_reward,333.0,89.91044616699219,90.18689621809341
train_mean_reward,Train/mean_reward,334.0,89.91044616699219,90.13160620787318
train_mean_reward,Train/mean_reward,335.0,89.91044616699219,90.08737419969697
train_mean_reward,Train/mean_reward,336.0,89.91044616699219,90.05198859315601
train_mean_reward,Train/mean_reward,337.0,89.91044616699219,90.02368010792324
train_mean_reward,Train/mean_reward,338.0,89.91044616699219,90.00103331973702
train_mean_reward,Train/mean_reward,339.0,89.91044616699219,89.98291588918806
train_mean_reward,Train/mean_reward,340.0,89.91044616699219,89.96842194474888
train_mean_reward,Train/mean_reward,341.0,89.91044616699219,89.95682678919755
train_mean_reward,Train/mean_reward,342.0,89.63170623779297,89.89180267891663
train_mean_reward,Train/mean_reward,343.0,89.63170623779297,89.8397833906919
train_mean_reward,Train/mean_reward,344.0,89.52054595947266,89.77593590444806
train_mean_reward,Train/mean_reward,345.0,89.52054595947266,89.72485791545299
train_mean_reward,Train/mean_reward,346.0,89.52054595947266,89.68399552425691
train_mean_reward,Train/mean_reward,347.0,89.52054595947266,89.65130561130007
train_mean_reward,Train/mean_reward,348.0,89.52054595947266,89.6251536809346
train_mean_reward,Train/mean_reward,349.0,89.52054595947266,89.60423213664222
train_mean_reward,Train/mean_reward,350.0,89.52054595947266,89.58749490120832
train_mean_reward,Train/mean_reward,351.0,89.52054595947266,89.57410511286119
train_mean_reward,Train/mean_reward,352.0,89.52054595947266,89.56339328218348
train_mean_reward,Train/mean_reward,353.0,89.52054595947266,89.5548238176413
train_mean_reward,Train/mean_reward,354.0,88.95010375976562,89.43387980606617
train_mean_reward,Train/mean_reward,355.0,88.95010375976562,89.33712459680606
train_mean_reward,Train/mean_reward,356.0,88.95010375976562,89.25972042939797
train_mean_reward,Train/mean_reward,357.0,88.95010375976562,89.1977970954715
train_mean_reward,Train/mean_reward,358.0,88.95010375976562,89.14825842833032
train_mean_reward,Train/mean_reward,359.0,88.95010375976562,89.10862749461738
train_mean_reward,Train/mean_reward,360.0,88.95010375976562,89.07692274764703
train_mean_reward,Train/mean_reward,361.0,88.95010375976562,89.05155895007076
train_mean_reward,Train/mean_reward,362.0,88.95010375976562,89.03126791200972
train_mean_reward,Train/mean_reward,363.0,88.95010375976562,89.01503508156091
train_mean_reward,Train/mean_reward,364.0,88.95010375976562,89.00204881720185
train_mean_reward,Train/mean_reward,365.0,88.95010375976562,88.9916598057146
train_mean_reward,Train/mean_reward,366.0,88.95010375976562,88.9833485965248
train_mean_reward,Train/mean_reward,367.0,88.95010375976562,88.97669962917297
train_mean_reward,Train/mean_reward,368.0,88.95010375976562,88.9713804552915
train_mean_reward,Train/mean_reward,369.0,88.95010375976562,88.96712511618632
train_mean_reward,Train/mean_reward,370.0,88.95010375976562,88.96372084490218
train_mean_reward,Train/mean_reward,371.0,88.95010375976562,88.96099742787487
